EMPLOYEEID;DIVISIONID;DEPARTMENTID;JOBID;JOBCLASSIFICATIONID;MANAGERID;EXITREASON;DATE;EXITDATE;FTE;STANDARDWEEKLYHOURS;WORKINGDAYSPERWEEK;SALARY
E031110;DIV03;DEP021;452;JC_Senior specialist;M237930;Undisclosed;20191118;20991231;1;40;5;36317
E032136;DIV02;DEP021;442;JC_Specialist;M252825;Undisclosed;20180103;20991231;1;40;5;27688
E032226;DIV03;DEP021;452;JC_Senior specialist;M237930;Undisclosed;20180103;20991231;1;40;5;41138
E032265;DIV03;DEP021;452;JC_Senior specialist;M237930;Undisclosed;20180103;20991231;1;40;5;46212
E032510;DIV03;DEP021;444;JC_Expert;M237930;Undisclosed;20180103;20991231;1;40;5;70647
E033083;DIV04;DEP021;462;JC_Specialist;M095280;Undisclosed;20180103;20991231;1;40;5;47305
E033329;DIV02;DEP021;450;JC_Associate;M252825;Undisclosed;20180103;20991231;1;40;5;78706
E033391;DIV03;DEP021;253;JC_Senior specialist;M237930;Undisclosed;20180103;20991231;1;40;5;108205
E033514;DIV02;DEP021;453;JC_Expert;M252825;Undisclosed;20180103;20991231;1;40;5;101367
E033711;DIV03;DEP021;383;JC_Senior specialist;M237930;Undisclosed;20180103;20991231;1;40;5;135852
E034304;DIV03;DEP021;452;JC_Senior specialist;M237930;Undisclosed;20180103;20991231;1;40;5;107534
E034691;DIV09;DEP021;461;JC_Associate;M300121;Undisclosed;20180103;20991231;1;40;5;30453
E034854;DIV04;DEP021;444;JC_Expert;M095280;Undisclosed;20180103;20991231;1;40;5;71554
E035402;DIV02;DEP021;371;JC_Associate;M252825;Undisclosed;20210211;20991231;1;40;5;35253
E003682;DIV03;DEP021;450;JC_Associate;M237930;Undisclosed;20201027;20991231;1;40;5;63495
E035925;DIV03;DEP021;452;JC_Senior specialist;M237930;Undisclosed;20180103;20991231;1;40;5;246564
E036686;DIV02;DEP021;442;JC_Specialist;M252825;Undisclosed;20180103;20991231;1;40;5;96062
E036805;DIV03;DEP021;442;JC_Specialist;M237930;Undisclosed;20180103;20991231;1;40;5;70701
E037122;DIV03;DEP023;445;JC_Manager;M237930;Undisclosed;20180103;20991231;1;40;5;105470
E037286;DIV02;DEP023;453;JC_Expert;M252825;Undisclosed;20180103;20991231;1;40;5;75561
E037827;DIV02;DEP031;371;JC_Associate;M252825;Undisclosed;20180103;20991231;1;40;5;103513
E037981;DIV04;DEP031;442;JC_Specialist;M096889;Undisclosed;20180103;20991231;1;40;5;50576
E003720;DIV03;DEP031;443;JC_Senior specialist;M237930;Undisclosed;20200127;20991231;1;40;5;118397
E038261;DIV03;DEP031;392;JC_Senior specialist;M237930;Undisclosed;20180103;20991231;1;40;5;102188
E038588;DIV02;DEP031;461;JC_Associate;M252825;Undisclosed;20180103;20991231;1;40;5;88110
E003956;DIV04;DEP031;452;JC_Senior specialist;M200979;Undisclosed;20200629;20991231;1;40;5;79633
E039236;DIV03;DEP031;231;JC_Specialist;M237930;Undisclosed;20180103;20991231;1;40;5;134907
E039468;DIV04;DEP031;443;JC_Senior specialist;M095280;Undisclosed;20210103;20991231;1;40;5;83311
E039897;DIV03;DEP031;252;JC_Specialist;M237930;Undisclosed;20180103;20991231;1;40;5;59386
E040731;DIV09;DEP031;443;JC_Senior specialist;M300121;Undisclosed;20180103;20991231;1;40;5;52418
E041119;DIV03;DEP031;371;JC_Associate;M237930;Undisclosed;20180103;20991231;1;40;5;73637
E041336;DIV02;DEP031;445;JC_Manager;M252825;Undisclosed;20180103;20991231;1;40;5;36273
E041378;DIV02;DEP031;452;JC_Senior specialist;M252825;Undisclosed;20180103;20991231;1;40;5;351454
E042076;DIV02;DEP031;444;JC_Expert;M252825;Undisclosed;20180103;20991231;1;40;5;23851
E042116;DIV02;DEP031;444;JC_Expert;M252825;Undisclosed;20180103;20991231;1;40;5;91690
M042395;DIV06;DEP031;341;JC_Senior specialist;M042395;Undisclosed;20180103;20991231;1;40;5;28216
E042444;DIV03;DEP031;231;JC_Specialist;M237930;Undisclosed;20180103;20991231;1;40;5;115749
E042449;DIV03;DEP031;452;JC_Senior specialist;M266882;Undisclosed;20180103;20991231;1;40;5;50784
E042648;DIV02;DEP031;444;JC_Expert;M252825;Undisclosed;20180103;20991231;1;40;5;28219
E042934;DIV03;DEP031;452;JC_Senior specialist;M237930;Undisclosed;20180203;20991231;1;40;5;94958
E043111;DIV02;DEP031;444;JC_Expert;M252825;Undisclosed;20180203;20991231;1;40;5;94493
E043212;DIV03;DEP031;444;JC_Expert;M237930;Undisclosed;20180203;20991231;1;40;5;49190
E043216;DIV02;DEP031;444;JC_Expert;M252825;Undisclosed;20180203;20991231;1;40;5;225702
E043497;DIV09;DEP031;232;JC_Senior specialist;M300121;Undisclosed;20180203;20991231;1;40;5;57212
E043857;DIV02;DEP031;401;JC_Associate;M252825;Undisclosed;20180203;20991231;1;40;5;97815
E044209;DIV09;DEP031;231;JC_Specialist;M300121;Undisclosed;20210103;20991231;1;40;5;91877
E044465;DIV03;DEP031;446;JC_Director;M237930;Undisclosed;20191207;20991231;1;40;5;83558
E044724;DIV03;DEP031;450;JC_Associate;M237930;Undisclosed;20180203;20991231;1;40;5;111983
M044771;DIV06;DEP031;392;JC_Senior specialist;M044771;Undisclosed;20180203;20991231;1;40;5;77245
E045291;DIV02;DEP031;445;JC_Manager;M252825;Undisclosed;20180203;20991231;1;40;5;88992
E045576;DIV02;DEP031;452;JC_Senior specialist;M252825;Undisclosed;20180203;20991231;1;40;5;80214
E008072;DIV03;DEP031;443;JC_Senior specialist;M237930;Undisclosed;20200129;20991231;1;40;5;68885
E047301;DIV03;DEP031;321;JC_Specialist;M237930;Undisclosed;20180203;20991231;1;40;5;116391
E047628;DIV02;DEP031;452;JC_Senior specialist;M252825;Undisclosed;20180303;20991231;1;40;5;262794
E048203;DIV03;DEP031;443;JC_Senior specialist;M237930;Undisclosed;20180303;20991231;1;40;5;266190
E049035;DIV03;DEP031;443;JC_Senior specialist;M237930;Undisclosed;20180303;20991231;1;40;5;60591
E049278;DIV03;DEP031;445;JC_Manager;M266882;Undisclosed;20180303;20991231;1;40;5;27732
E049529;DIV02;DEP031;444;JC_Expert;M252825;Undisclosed;20180303;20991231;1;40;5;118156
E049665;DIV02;DEP031;233;JC_Senior specialist;M252825;Undisclosed;20180303;20991231;1;40;5;91165
E009586;DIV03;DEP031;445;JC_Manager;M237930;Undisclosed;20200128;20991231;1;40;5;247845
E049840;DIV02;DEP031;442;JC_Specialist;M252825;Undisclosed;20180303;20991231;1;40;5;64816
E049894;DIV03;DEP031;411;JC_Associate;M237930;Undisclosed;20180303;20991231;1;40;5;111055
E049972;DIV02;DEP031;442;JC_Specialist;M252825;Undisclosed;20180303;20991231;1;40;5;99720
E050084;DIV04;DEP031;442;JC_Specialist;M200979;Undisclosed;20180303;20991231;1;40;5;54469
E050121;DIV02;DEP031;450;JC_Associate;M252825;Undisclosed;20180303;20991231;1;40;5;52025
E050232;DIV03;DEP031;455;JC_Director;M237930;Undisclosed;20180303;20991231;1;40;5;69405
E050876;DIV02;DEP031;450;JC_Associate;M252825;Undisclosed;20180303;20991231;1;40;5;37111
E051425;DIV05;DEP031;341;JC_Associate;M044139;Undisclosed;20180303;20991231;1;40;5;26368
E051673;DIV04;DEP031;444;JC_Expert;M019974;Undisclosed;20180303;20991231;1;40;5;35096
E052176;DIV09;DEP031;450;JC_Associate;M300121;Undisclosed;20180303;20991231;1;40;5;88725
E052710;DIV03;DEP031;442;JC_Specialist;M237930;Undisclosed;20180303;20991231;1;40;5;63816
E052792;DIV02;DEP031;452;JC_Senior specialist;M252825;Undisclosed;20180303;20991231;1;40;5;93766
E053339;DIV02;DEP031;252;JC_Specialist;M252825;Undisclosed;20180403;20991231;1;40;5;138443
E053570;DIV05;DEP031;452;JC_Senior specialist;M044139;Undisclosed;20180403;20991231;1;40;5;22771
E054330;DIV05;DEP031;361;JC_Associate;M044139;Undisclosed;20180403;20991231;1;40;5;43322
E054381;DIV04;DEP031;452;JC_Senior specialist;M095280;Undisclosed;20210201;20991231;1;40;5;70723
E054607;DIV02;DEP031;404;JC_Expert;M252825;Undisclosed;20180403;20991231;1;40;5;113550
E055236;DIV02;DEP031;442;JC_Specialist;M252825;Undisclosed;20180403;20991231;1;40;5;70478
E055438;DIV03;DEP031;444;JC_Expert;M237930;Undisclosed;20180403;20991231;1;40;5;266418
E055687;DIV03;DEP031;392;JC_Senior specialist;M237930;Undisclosed;20180403;20991231;1;40;5;52742
E056710;DIV02;DEP031;443;JC_Senior specialist;M252825;Undisclosed;20180403;20991231;1;40;5;112936
E056816;DIV03;DEP031;452;JC_Senior specialist;M237930;Undisclosed;20180403;20991231;1;40;5;74291
E056995;DIV02;DEP031;452;JC_Senior specialist;M252825;Undisclosed;20180403;20991231;1;40;5;105169
E057557;DIV02;DEP031;443;JC_Senior specialist;M252825;Undisclosed;20180603;20991231;1;40;5;93492
E057879;DIV03;DEP031;292;JC_Specialist;M237930;Undisclosed;20180603;20991231;1;40;5;135724
E057888;DIV09;DEP031;444;JC_Expert;M300121;Undisclosed;20180603;20991231;1;40;5;36724
E058220;DIV03;DEP031;454;JC_Manager;M266882;Undisclosed;20210112;20991231;1;40;5;35465
E058269;DIV05;DEP031;445;JC_Manager;M044139;Undisclosed;20180603;20991231;1;40;5;52243
E058435;DIV01;DEP031;450;JC_Associate;M144808;Undisclosed;20180603;20991231;1;40;5;46345
E059034;DIV02;DEP031;442;JC_Specialist;M252825;Undisclosed;20180603;20991231;1;40;5;107881
E059116;DIV03;DEP041;461;JC_Associate;M237930;Undisclosed;20180603;20991231;1;40;5;70802
E011442;DIV03;DEP041;453;JC_Expert;M237930;Undisclosed;20200609;20991231;1;40;5;291905
E060532;DIV02;DEP041;452;JC_Senior specialist;M252825;Undisclosed;20191130;20991231;1;40;5;66376
E060808;DIV03;DEP041;452;JC_Senior specialist;M237930;Undisclosed;20191206;20991231;1;40;5;119073
E061178;DIV03;DEP041;452;JC_Senior specialist;M237930;Undisclosed;20180603;20991231;1;40;5;52919
E061217;DIV03;DEP041;444;JC_Expert;M237930;Undisclosed;20180603;20991231;1;40;5;252363
E061830;DIV02;DEP041;452;JC_Senior specialist;M252825;Undisclosed;20180603;20991231;1;40;5;80540
E062112;DIV02;DEP041;381;JC_Specialist;M252825;Undisclosed;20180603;20991231;1;40;5;412790
E062171;DIV03;DEP041;450;JC_Associate;M237930;Undisclosed;20180603;20991231;1;40;5;225831
E062287;DIV03;DEP041;443;JC_Senior specialist;M237930;Undisclosed;20180603;20991231;1;40;5;92770
E062392;DIV02;DEP041;450;JC_Associate;M252825;Undisclosed;20180603;20991231;1;40;5;79004
E062414;DIV05;DEP041;361;JC_Associate;M044139;Undisclosed;20180603;20991231;1;40;5;36394
E062439;DIV02;DEP041;261;JC_Associate;M252825;Undisclosed;20180603;20991231;1;40;5;66727
E062470;DIV02;DEP042;261;JC_Associate;M252825;Undisclosed;20180603;20991231;1;40;5;90929
E063021;DIV02;DEP042;442;JC_Specialist;M252825;Undisclosed;20180603;20991231;1;40;5;89194
E063203;DIV09;DEP042;452;JC_Senior specialist;M300121;Undisclosed;20180903;20991231;1;40;5;71862
E063284;DIV01;DEP042;453;JC_Expert;M144808;Undisclosed;20180903;20991231;1;40;5;52907
E063710;DIV02;DEP042;231;JC_Specialist;M252825;Undisclosed;20180903;20991231;1;40;5;104345
E064758;DIV03;DEP042;443;JC_Senior specialist;M237930;Undisclosed;20180903;20991231;1;40;5;96544
E064790;DIV02;DEP042;452;JC_Senior specialist;M252825;Undisclosed;20180903;20991231;1;40;5;83483
E065013;DIV03;DEP042;445;JC_Manager;M237930;Undisclosed;20190609;20991231;1;40;5;109320
E065354;DIV04;DEP042;442;JC_Specialist;M200979;Undisclosed;20210103;20991231;1;40;5;87728
E066221;DIV03;DEP042;453;JC_Expert;M237930;Undisclosed;20180903;20991231;1;40;5;103666
E066493;DIV02;DEP042;453;JC_Expert;M252825;Undisclosed;20180903;20991231;1;40;5;286844
E066909;DIV02;DEP042;452;JC_Senior specialist;M252825;Undisclosed;20180903;20991231;1;40;5;92466
E067408;DIV03;DEP042;444;JC_Expert;M266882;Undisclosed;20180903;20991231;1;40;5;31670
E067571;DIV02;DEP042;401;JC_Associate;M252825;Undisclosed;20180903;20991231;1;40;5;104235
E067594;DIV03;DEP042;462;JC_Specialist;M237930;Undisclosed;20180903;20991231;1;40;5;116995
E068195;DIV02;DEP043;461;JC_Associate;M252825;Undisclosed;20180903;20991231;1;40;5;254002
E068446;DIV02;DEP043;292;JC_Specialist;M252825;Undisclosed;20180903;20991231;1;40;5;92276
E069180;DIV04;DEP043;281;JC_Associate;M095280;Undisclosed;20180903;20991231;1;40;5;53065
E069610;DIV09;DEP043;452;JC_Senior specialist;M300121;Undisclosed;20180903;20991231;1;40;5;67892
E069773;DIV09;DEP043;442;JC_Specialist;M300121;Undisclosed;20180903;20991231;1;40;5;59148
E069905;DIV02;DEP043;442;JC_Specialist;M252825;Undisclosed;20180203;20991231;1;40;5;80528
E069908;DIV06;DEP043;442;JC_Specialist;M042395;Undisclosed;20180203;20991231;1;40;5;31801
E070521;DIV02;DEP043;452;JC_Senior specialist;M252825;Undisclosed;20190926;20991231;1;40;5;71721
E070570;DIV03;DEP044;444;JC_Expert;M237930;Undisclosed;20180203;20991231;1;40;5;71270
E070596;DIV02;DEP044;453;JC_Expert;M252825;Undisclosed;20180203;20991231;1;40;5;91217
E071255;DIV02;DEP044;442;JC_Specialist;M252825;Undisclosed;20180203;20991231;1;40;5;94877
E071888;DIV03;DEP044;445;JC_Manager;M237930;Undisclosed;20180203;20991231;1;40;5;72604
E072221;DIV03;DEP044;445;JC_Manager;M237930;Undisclosed;20191129;20991231;1;40;5;68903
E072275;DIV04;DEP044;452;JC_Senior specialist;M095280;Undisclosed;20180203;20991231;1;40;5;40808
E072374;DIV06;DEP044;442;JC_Specialist;M042395;Undisclosed;20180203;20991231;1;40;5;31548
E014067;DIV03;DEP044;455;JC_Director;M237930;Undisclosed;20200105;20991231;1;40;5;110086
E073936;DIV02;DEP044;445;JC_Manager;M252825;Undisclosed;20180203;20991231;1;40;5;91155
E074087;DIV03;DEP044;443;JC_Senior specialist;M237930;Undisclosed;20180203;20991231;1;40;5;81101
E074121;DIV03;DEP044;452;JC_Senior specialist;M237930;Undisclosed;20180203;20991231;1;40;5;80172
E074234;DIV09;DEP044;292;JC_Specialist;M300121;Undisclosed;20180203;20991231;1;40;5;94480
E074375;DIV02;DEP044;452;JC_Senior specialist;M252825;Undisclosed;20180203;20991231;1;40;5;105916
E074415;DIV03;DEP044;452;JC_Senior specialist;M237930;Undisclosed;20180203;20991231;1;40;5;267910
E074517;DIV04;DEP044;452;JC_Senior specialist;M095280;Undisclosed;20180203;20991231;1;40;5;98060
E074901;DIV02;DEP044;402;JC_Specialist;M252825;Undisclosed;20180203;20991231;1;40;5;85348
E074948;DIV02;DEP044;211;JC_Associate;M252825;Undisclosed;20180103;20991231;1;40;5;62131
E075436;DIV02;DEP044;452;JC_Senior specialist;M252825;Undisclosed;20180103;20991231;1;40;5;112902
E076345;DIV02;DEP044;452;JC_Senior specialist;M252825;Undisclosed;20180103;20991231;1;40;5;261267
E077136;DIV06;DEP044;443;JC_Senior specialist;M044771;Undisclosed;20190626;20991231;1;40;5;99218
E077381;DIV03;DEP044;452;JC_Senior specialist;M237930;Undisclosed;20180103;20991231;1;40;5;110656
E016296;DIV03;DEP044;442;JC_Specialist;M237930;Undisclosed;20191231;20991231;1;40;5;40915
E078389;DIV02;DEP051;452;JC_Senior specialist;M252825;Undisclosed;20180103;20991231;1;40;5;80287
E078426;DIV02;DEP051;383;JC_Senior specialist;M252825;Undisclosed;20180103;20991231;1;40;5;112101
E078612;DIV02;DEP051;444;JC_Expert;M252825;Undisclosed;20180103;20991231;1;40;5;253672
E078681;DIV02;DEP051;454;JC_Manager;M252825;Undisclosed;20180103;20991231;1;40;5;231922
E078928;DIV02;DEP051;461;JC_Associate;M252825;Undisclosed;20180103;20991231;1;40;5;106527
E079068;DIV02;DEP051;452;JC_Senior specialist;M252825;Undisclosed;20180103;20991231;1;40;5;423605
E079106;DIV03;DEP051;444;JC_Expert;M237930;Undisclosed;20191120;20991231;1;40;5;343289
E080578;DIV09;DEP051;442;JC_Specialist;M300121;Undisclosed;20191031;20991231;1;40;5;86517
E081389;DIV03;DEP051;454;JC_Manager;M237930;Undisclosed;20180103;20991231;1;40;5;269447
E081543;DIV05;DEP051;443;JC_Senior specialist;M044139;Undisclosed;20190527;20991231;1;40;5;78133
E084061;DIV03;DEP051;452;JC_Senior specialist;M237930;Undisclosed;20180103;20991231;1;40;5;247335
E084077;DIV04;DEP051;231;JC_Specialist;M019974;Undisclosed;20180103;20991231;1;40;5;29499
E084143;DIV02;DEP051;443;JC_Senior specialist;M252825;Undisclosed;20210108;20991231;1;40;5;258951
E084183;DIV03;DEP051;402;JC_Specialist;M266882;Undisclosed;20180103;20991231;1;40;5;72881
E084490;DIV02;DEP051;252;JC_Specialist;M252825;Undisclosed;20180103;20991231;1;40;5;107746
E084661;DIV02;DEP051;452;JC_Senior specialist;M252825;Undisclosed;20180103;20991231;1;40;5;307155
E085125;DIV09;DEP051;341;JC_Associate;M300121;Undisclosed;20180103;20991231;1;40;5;95332
E085186;DIV02;DEP051;443;JC_Senior specialist;M252825;Undisclosed;20180103;20991231;1;40;5;108061
E085404;DIV02;DEP051;452;JC_Senior specialist;M252825;Undisclosed;20180103;20991231;1;40;5;258802
E085673;DIV09;DEP051;452;JC_Senior specialist;M300121;Undisclosed;20180103;20991231;1;40;5;96265
E085741;DIV03;DEP051;452;JC_Senior specialist;M237930;Undisclosed;20180103;20991231;1;40;5;368781
E086340;DIV06;DEP051;452;JC_Senior specialist;M109659;Undisclosed;20210127;20991231;1;40;5;32834
E086586;DIV02;DEP051;443;JC_Senior specialist;M252825;Undisclosed;20180103;20991231;1;40;5;375600
E086664;DIV02;DEP051;443;JC_Senior specialist;M252825;Undisclosed;20180103;20991231;1;40;5;254070
E087280;DIV03;DEP051;443;JC_Senior specialist;M266882;Undisclosed;20190926;20991231;1;40;5;45144
E089626;DIV03;DEP051;452;JC_Senior specialist;M237930;Undisclosed;20191027;20991231;1;40;5;116142
E017695;DIV09;DEP051;443;JC_Senior specialist;M300121;Undisclosed;20200711;20991231;1;40;5;88491
E091667;DIV03;DEP051;404;JC_Expert;M237930;Undisclosed;20191121;20991231;1;40;5;219141
E094339;DIV02;DEP051;233;JC_Senior specialist;M252825;Undisclosed;20210131;20991231;1;40;5;79389
E094828;DIV03;DEP052;452;JC_Senior specialist;M237930;Undisclosed;20191114;20991231;1;40;5;219715
E096013;DIV01;DEP052;452;JC_Senior specialist;M144808;Undisclosed;20210205;20991231;1;40;5;63308
E098863;DIV03;DEP052;453;JC_Expert;M237930;Undisclosed;20191020;20991231;1;40;5;294416
E103866;DIV03;DEP052;454;JC_Manager;M266882;Undisclosed;20190727;20991231;1;40;5;52396
E104148;DIV01;DEP052;393;JC_Expert;M144808;Undisclosed;20210202;20991231;1;40;5;31399
E020105;DIV03;DEP052;444;JC_Expert;M237930;Undisclosed;20191126;20991231;1;40;5;130836
E020119;DIV09;DEP052;446;JC_Director;M300121;Undisclosed;20201113;20991231;1;40;5;89182
E022785;DIV03;DEP052;444;JC_Expert;M237930;Undisclosed;20200106;20991231;1;40;5;60751
E113211;DIV02;DEP052;454;JC_Manager;M252825;Undisclosed;20210205;20991231;1;40;5;82930
E114585;DIV01;DEP052;453;JC_Expert;M144808;Undisclosed;20210127;20991231;1;40;5;85181
