EMPLOYEEID;JOBID;NEWTOPOSITION;PAYGRADEID;FULLTIME;COMPANYCODE;BUSINESSAREA
E034854;444;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E035402;371;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E003682;450;TRUE;GR-9;TRUE;ACME NA Corp.;Business Area C
E035925;452;FALSE;GR-10;TRUE;ACME NA Corp.;Business Area A
E036686;442;FALSE;GR-11;TRUE;ACME Western EU SE;Business Area C
E036805;442;FALSE;GR-16;TRUE;ACME Western EU SE;Business Area C
E037122;445;FALSE;GR-13;TRUE;ACME Western EU SE;Business Area C
E037286;453;FALSE;GR-8;TRUE;ACME Western EU SE;Business Area C
E037827;371;FALSE;GR-13;TRUE;ACME Western EU SE;Business Area C
E037981;442;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area C
E003720;443;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E038261;392;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E038588;461;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E003956;452;FALSE;GR-11;TRUE;ACME Western EU SE;Business Area D
E039236;231;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E039468;443;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E039897;252;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E040731;443;FALSE;GR-12;TRUE;ACME NA Corp.;Business Area A
E041119;371;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E041336;445;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area C
E041378;452;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E042076;444;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E042116;444;FALSE;GR-11;TRUE;ACME LA Corp.;Business Area B
E042395;341;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E042444;231;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E042449;452;TRUE;GR-16;TRUE;ACME LA Corp.;Business Area D
E042648;444;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E042934;452;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E043111;444;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E043212;444;FALSE;GR-11;TRUE;ACME Western EU SE;Business Area D
E043216;444;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E043497;232;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E043857;401;FALSE;GR-8;TRUE;ACME NA Corp.;Business Area A
E044209;231;FALSE;GR-12;TRUE;ACME NA Corp.;Business Area A
E044465;446;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E044724;450;TRUE;GR-9;TRUE;ACME LA Corp.;Business Area D
E044771;392;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E045291;445;FALSE;H-1;TRUE;ACME NA Corp.;Business Area A
E045576;452;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E008072;443;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E047301;321;FALSE;GR-12;TRUE;ACME Western EU SE;Business Area D
E047628;452;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E048203;443;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E049035;443;FALSE;H-1;TRUE;ACME NA Corp.;Business Area A
E049278;445;FALSE;H-1;TRUE;ACME NA Corp.;Business Area A
E049529;444;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E049665;233;FALSE;H-1;TRUE;ACME NA Corp.;Business Area A
E009586;445;FALSE;GR-9;TRUE;ACME LA Corp.;Business Area B
E049840;442;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E049894;411;FALSE;GR-13;TRUE;ACME LA Corp.;Business Area D
E049972;442;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E050084;442;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E050121;450;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E050232;455;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E050876;450;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E051425;341;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area C
E051673;444;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E052176;450;TRUE;GR-9;TRUE;ACME NA Corp.;Business Area C
E052710;442;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E052792;452;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E053339;252;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E053570;452;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E054330;361;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E054381;452;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E054607;404;FALSE;GR-10;TRUE;ACME NA Corp.;Business Area A
E055236;442;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E055438;444;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E055687;392;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E056710;443;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E056816;452;TRUE;GR-11;TRUE;ACME LA Corp.;Business Area D
E056995;452;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E057557;443;TRUE;GR-9;TRUE;ACME LA Corp.;Business Area D
E057879;292;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E057888;444;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E058220;454;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E058269;445;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area B
E058435;450;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E059034;442;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E059116;461;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E011442;453;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E060532;452;FALSE;GR-9;TRUE;ACME LA Corp.;Business Area C
E060808;452;FALSE;GR-9;TRUE;ACME LA Corp.;Business Area B
E061178;452;TRUE;GR-13;TRUE;ACME LA Corp.;Business Area B
E061217;444;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E061830;452;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E062112;381;TRUE;GR-9;TRUE;ACME NA Corp.;Business Area C
E062171;450;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E062287;443;FALSE;GR-10;TRUE;ACME NA Corp.;Business Area A
E062392;450;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E062414;361;FALSE;GR-11;TRUE;ACME Western EU SE;Business Area C
E062439;261;FALSE;GR-16;TRUE;ACME Western EU SE;Business Area C
E062470;261;FALSE;GR-13;TRUE;ACME Western EU SE;Business Area C
E063021;442;FALSE;GR-13;TRUE;ACME Western EU SE;Business Area C
E063203;452;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area C
E063284;453;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E063710;231;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E064758;443;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E064790;452;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E065013;445;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E065354;442;FALSE;GR-12;TRUE;ACME NA Corp.;Business Area A
E066221;453;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area C
E066493;453;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E066909;452;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E067408;444;FALSE;GR-11;TRUE;ACME LA Corp.;Business Area B
E067571;401;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E067594;462;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E068195;461;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E068446;292;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E069180;281;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E069610;452;FALSE;GR-11;TRUE;ACME Western EU SE;Business Area D
E069773;442;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E069905;442;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E069908;442;FALSE;GR-8;TRUE;ACME NA Corp.;Business Area A
E070521;452;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E070570;444;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E070596;453;TRUE;GR-9;TRUE;ACME LA Corp.;Business Area D
E071255;442;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E071888;445;FALSE;H-1;TRUE;ACME NA Corp.;Business Area A
E072221;445;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E072275;452;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E072374;442;FALSE;GR-9;TRUE;ACME LA Corp.;Business Area B
E014067;455;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E073936;445;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E074087;443;FALSE;GR-12;TRUE;ACME Western EU SE;Business Area D
E074121;452;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E074234;292;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E074375;452;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E074415;452;FALSE;H-1;TRUE;ACME NA Corp.;Business Area A
E074517;452;FALSE;H-1;TRUE;ACME NA Corp.;Business Area A
E074901;402;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E074948;211;FALSE;H-1;TRUE;ACME NA Corp.;Business Area A
E075436;452;FALSE;GR-9;TRUE;ACME LA Corp.;Business Area B
E076345;452;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E077136;443;FALSE;GR-13;TRUE;ACME LA Corp.;Business Area D
E077381;452;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E016296;442;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E078389;452;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E078426;383;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E078612;444;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E078681;454;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E078928;461;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area C
E079068;452;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E079106;444;FALSE;GR-14;TRUE;ACME NA Corp.;Business Area A
E080578;442;TRUE;GR-9;TRUE;ACME NA Corp.;Business Area C
E081389;454;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E081543;443;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E084061;452;TRUE;GR-9;TRUE;ACME LA Corp.;Business Area B
E084077;231;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E084143;443;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E084183;402;FALSE;GR-10;TRUE;ACME NA Corp.;Business Area A
E084490;252;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E084661;452;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E085125;341;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E085186;443;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E085404;452;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E085673;452;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E085741;452;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E086340;452;TRUE;GR-11;TRUE;ACME LA Corp.;Business Area D
E086586;443;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E086664;443;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E087280;443;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E089626;452;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E017695;443;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E091667;404;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E094339;233;FALSE;GR-9;TRUE;ACME LA Corp.;Business Area B
E094828;452;TRUE;GR-13;TRUE;ACME LA Corp.;Business Area B
E096013;452;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E098863;453;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E103866;454;FALSE;GR-10;TRUE;ACME NA Corp.;Business Area A
E104148;393;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E020105;444;FALSE;GR-11;TRUE;ACME Western EU SE;Business Area C
E020119;446;FALSE;GR-16;TRUE;ACME Western EU SE;Business Area C
E022785;444;FALSE;GR-13;TRUE;ACME Western EU SE;Business Area C
E113211;454;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E114585;453;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E114735;455;FALSE;GR-11;TRUE;ACME Western EU SE;Business Area D
E027174;393;FALSE;GR-12;TRUE;ACME NA Corp.;Business Area A
E027507;445;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area C
E119581;293;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E121194;445;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E032687;445;FALSE;GR-11;TRUE;ACME LA Corp.;Business Area B
E123482;454;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E034090;462;TRUE;GR-16;TRUE;ACME LA Corp.;Business Area D
E034346;453;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E034894;454;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E035336;445;FALSE;GR-12;TRUE;ACME NA Corp.;Business Area A
E035565;351;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E131959;413;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E138406;445;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E138712;452;FALSE;GR-12;TRUE;ACME Western EU SE;Business Area D
E150556;445;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E152049;445;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area C
E038222;392;FALSE;GR-14;TRUE;ACME NA Corp.;Business Area A
E038675;455;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E157200;271;TRUE;GR-9;TRUE;ACME LA Corp.;Business Area B
E159632;445;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E163395;452;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E039862;452;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E041210;412;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E168799;452;TRUE;GR-9;TRUE;ACME LA Corp.;Business Area D
E172739;292;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E299669;291;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E041510;452;FALSE;GR-9;TRUE;ACME LA Corp.;Business Area C
E187962;443;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E190410;462;FALSE;GR-11;TRUE;ACME Western EU SE;Business Area C
E192639;453;FALSE;GR-8;TRUE;ACME Western EU SE;Business Area C
E044105;261;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E044139;293;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E044175;453;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E206956;444;FALSE;GR-11;TRUE;ACME LA Corp.;Business Area B
E209320;445;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E196475;444;TRUE;GR-16;TRUE;ACME LA Corp.;Business Area D
E045175;461;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E045588;453;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E215481;445;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E045869;442;FALSE;GR-8;TRUE;ACME NA Corp.;Business Area A
E216877;444;FALSE;GR-12;TRUE;ACME NA Corp.;Business Area A
E217443;602;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E047192;452;TRUE;GR-9;TRUE;ACME LA Corp.;Business Area D
E048614;444;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E230427;443;FALSE;H-1;TRUE;ACME NA Corp.;Business Area A
E049786;443;FALSE;GR-13;TRUE;ACME LA Corp.;Business Area D
E238255;452;TRUE;GR-9;TRUE;ACME NA Corp.;Business Area C
E239003;442;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E239128;442;TRUE;GR-9;TRUE;ACME LA Corp.;Business Area B
E239479;452;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E240055;291;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E240195;452;FALSE;GR-10;TRUE;ACME NA Corp.;Business Area A
E240340;461;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E240832;452;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E241489;452;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E241676;232;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E241744;452;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E242108;452;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E242774;447;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E243160;452;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E244138;401;TRUE;GR-9;TRUE;ACME LA Corp.;Business Area D
E244224;443;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E230144;442;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E230762;443;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E244532;281;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area B
E245656;291;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E245956;444;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E246422;282;FALSE;GR-9;TRUE;ACME LA Corp.;Business Area C
E246442;461;FALSE;GR-9;TRUE;ACME LA Corp.;Business Area B
E246698;322;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E247011;452;TRUE;GR-9;TRUE;ACME NA Corp.;Business Area C
E247476;444;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E247977;261;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E244429;445;FALSE;GR-11;TRUE;ACME Western EU SE;Business Area C
E248574;252;FALSE;GR-16;TRUE;ACME Western EU SE;Business Area C
E244478;452;FALSE;GR-13;TRUE;ACME Western EU SE;Business Area C
E248811;351;FALSE;GR-8;TRUE;ACME Western EU SE;Business Area C
E248894;462;FALSE;GR-13;TRUE;ACME Western EU SE;Business Area C
E249285;433;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E249456;443;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E249554;443;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E249630;461;FALSE;GR-11;TRUE;ACME Western EU SE;Business Area D
E250035;453;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E250289;452;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E250764;402;FALSE;GR-12;TRUE;ACME NA Corp.;Business Area A
E248763;452;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E248961;444;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area C
E251108;443;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E251178;444;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E252283;454;FALSE;GR-11;TRUE;ACME LA Corp.;Business Area B
E252718;442;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E252825;457;TRUE;GR-16;TRUE;ACME LA Corp.;Business Area D
E253918;453;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E254237;461;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E254387;361;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E254473;252;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E255984;454;FALSE;GR-12;TRUE;ACME NA Corp.;Business Area A
E256138;453;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E250915;454;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E256443;461;TRUE;GR-9;TRUE;ACME LA Corp.;Business Area D
E256505;442;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E257047;461;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E257215;442;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E051849;432;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E258590;371;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E258670;444;FALSE;GR-12;TRUE;ACME Western EU SE;Business Area D
E258697;444;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E258739;402;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E258937;454;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E259511;452;FALSE;H-1;TRUE;ACME NA Corp.;Business Area A
E260466;452;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
