SALESORDERID;CREATEDBY;CREATEDAT;CHANGEDBY;CHANGEDAT;FISCALYEARVARIANT;FISCALYEARPERIOD;NOTEID;PARTNERID;SALESORG;CURRENCY;GROSSAMOUNT;NETAMOUNT;TAXAMOUNT;LIFECYCLESTATUS;BILLINGSTATUS;DELIVERYSTATUS
200000040;9;20150225;9;20150228;K4;2015002;;100000032;AMER;USD;19995;17495,63;2499,38;C;C;C
200000041;8;20150225;8;20150302;K4;2015002;;100000009;EMEA;USD;10497;9184,88;1312,13;C;C;C
200000042;11;20150225;11;20150301;K4;2015002;;100000030;AMER;USD;58477;51167,38;7309,63;C;C;C
200000042;11;20150225;11;20150301;K4;2015002;;100000030;AMER;USD;71765;62794,38;8970,63;C;C;C
200000043;8;20150227;8;20150301;K4;2015002;;100000025;EMEA;USD;4433;3878,88;554,13;C;C;C
200000044;5;20150227;5;20150301;K4;2015002;;100000016;APJ;USD;12000;10500;1500;C;C;C
200000044;5;20150227;5;20150301;K4;2015002;;100000016;APJ;USD;70990;62116,25;8873,75;C;C;C
200000048;14;20150307;14;20150310;K4;2015003;;100000004;AMER;USD;1299;1136,63;162,38;C;C;C
200000048;14;20150307;14;20150310;K4;2015003;;100000004;AMER;USD;2597;2272,38;324,63;C;C;C
200000049;9;20150308;9;20150313;K4;2015003;;100000004;AMER;USD;44991;39367,13;5623,88;C;C;C
200000049;9;20150308;9;20150313;K4;2015003;;100000004;AMER;USD;51383;44960,13;6422,88;C;C;C
200000050;8;20150310;8;20150314;K4;2015003;;100000025;EMEA;USD;19087;16701,13;2385,88;C;C;C
200000052;4;20150313;4;20150318;K4;2015003;;100000018;APJ;USD;2691;2354,63;336,38;C;C;C
200000053;5;20150314;5;20150319;K4;2015003;;100000022;APJ;USD;54064;47306;6758;C;C;C
200000053;5;20150314;5;20150319;K4;2015003;;100000022;APJ;USD;58852;51495,5;7356,5;C;C;C
200000054;1;20150316;1;20150318;K4;2015003;;100000002;AMER;USD;24146;21127,75;3018,25;C;C;C
200000054;1;20150316;1;20150318;K4;2015003;;100000002;AMER;USD;97130;84988,75;12141,25;C;C;C
200000055;8;20150317;8;20150318;K4;2015003;;100000008;EMEA;USD;27088;23702;3386;C;C;C
200000056;5;20150320;5;20150325;K4;2015003;;100000024;APJ;USD;106092;92830,5;13261,5;C;C;C
200000057;5;20150320;5;20150323;K4;2015003;;100000018;APJ;USD;17021;14893,38;2127,63;C;C;C
200000059;4;20150325;4;20150327;K4;2015003;;100000017;APJ;USD;2500;2187,5;312,5;C;C;C
200000060;5;20150325;5;20150328;K4;2015003;;100000015;APJ;USD;3200;2800;400;C;C;C
200000060;5;20150325;5;20150328;K4;2015003;;100000015;APJ;USD;9690;8478,75;1211,25;C;C;C
200000062;6;20150328;6;20150402;K4;2015003;;100000035;EMEA;USD;43985;38486,88;5498,13;C;C;C
200000062;6;20150328;6;20150402;K4;2015003;;100000035;EMEA;USD;75554;66109,75;9444,25;C;C;C
200000064;6;20150331;6;20150402;K4;2015003;;100000029;EMEA;USD;35986;31487,75;4498,25;C;C;C
200000065;5;20150401;5;20150405;K4;2015004;;100000015;APJ;USD;57889;50652,88;7236,13;C;C;C
200000066;10;20150404;10;20150409;K4;2015004;;100000004;AMER;USD;39500;34562,5;4937,5;C;C;C
200000068;5;20150409;5;20150410;K4;2015004;;100000022;APJ;USD;6198;5423,25;774,75;C;C;C
200000069;11;20150409;11;20150414;K4;2015004;;100000031;AMER;USD;6294;5507,25;786,75;C;C;C
200000069;11;20150409;11;20150414;K4;2015004;;100000031;AMER;USD;8686;7600,25;1085,75;C;C;C
200000070;8;20150409;8;20150413;K4;2015004;;100000007;EMEA;USD;29787;26063,63;3723,38;C;C;C
200000070;8;20150409;8;20150413;K4;2015004;;100000007;EMEA;USD;97787;85563,63;12223,38;C;C;C
200000071;5;20150412;5;20150415;K4;2015004;;100000015;APJ;USD;7210;6308,75;901,25;C;C;C
200000071;5;20150412;5;20150415;K4;2015004;;100000015;APJ;USD;16210;14183,75;2026,25;C;C;C
200000072;6;20150413;6;20150416;K4;2015004;;100000009;EMEA;USD;2000;1750;250;C;C;C
200000072;6;20150413;6;20150416;K4;2015004;;100000009;EMEA;USD;8890;7778,75;1111,25;C;C;C
200000073;6;20150413;6;20150417;K4;2015004;;100000028;EMEA;USD;50889;44527,88;6361,13;C;C;C
200000074;13;20150415;13;20150420;K4;2015004;;100000000;AMER;USD;4000;3500;500;C;C;C
200000075;11;20150417;11;20150420;K4;2015004;;100000001;AMER;USD;7600;6650;950;C;C;C
200000075;11;20150417;11;20150420;K4;2015004;;100000001;AMER;USD;14795;12945,63;1849,38;C;C;C
200000075;11;20150417;11;20150420;K4;2015004;;100000001;AMER;USD;37289;32627,88;4661,13;C;C;C
200000077;8;20150420;8;20150422;K4;2015004;;100000014;EMEA;USD;10323;9032,63;1290,38;C;C;C
200000078;6;20150423;6;20150426;K4;2015004;;100000038;EMEA;USD;48000;42000;6000;C;C;C
200000078;6;20150423;6;20150426;K4;2015004;;100000038;EMEA;USD;103790;90816,25;12973,75;C;C;C
200000078;6;20150423;6;20150426;K4;2015004;;100000038;EMEA;USD;105584;92386;13198;C;C;C
200000079;4;20150425;4;20150429;K4;2015004;;100000017;APJ;USD;37527;32836,13;4690,88;C;C;C
200000080;11;20150428;11;20150429;K4;2015004;;100000004;AMER;USD;3192;2793;399;C;C;C
200000080;11;20150428;11;20150429;K4;2015004;;100000004;AMER;USD;6342;5549,25;792,75;C;C;C
200000080;11;20150428;11;20150429;K4;2015004;;100000004;AMER;USD;36942;32324,25;4617,75;C;C;C
200000083;12;20150503;12;20150507;K4;2015005;;100000003;AMER;USD;12233;10703,88;1529,13;C;C;C
200000083;12;20150503;12;20150507;K4;2015005;;100000003;AMER;USD;17231;15077,13;2153,88;C;C;C
200000087;6;20150508;6;20150511;K4;2015005;;100000006;EMEA;USD;20991;18367,13;2623,88;C;C;C
200000087;6;20150508;6;20150511;K4;2015005;;100000006;EMEA;USD;30082;26321,75;3760,25;C;C;C
200000089;11;20150510;11;20150515;K4;2015005;;100000001;AMER;USD;15996;13996,5;1999,5;C;C;C
200000089;11;20150510;11;20150515;K4;2015005;;100000001;AMER;USD;20494;17932,25;2561,75;C;C;C
200000089;11;20150510;11;20150515;K4;2015005;;100000001;AMER;USD;40993;35868,88;5124,13;C;C;C
200000090;3;20150512;3;20150516;K4;2015005;;100000027;EMEA;USD;49030;42901,25;6128,75;C;C;C
200000092;7;20150518;7;20150521;K4;2015005;;100000003;AMER;USD;60382;52834,25;7547,75;C;C;C
200000093;4;20150520;4;20150521;K4;2015005;;100000018;APJ;USD;13691;11979,63;1711,38;C;C;C
200000094;5;20150523;5;20150525;K4;2015005;;100000021;APJ;USD;20548;17979,5;2568,5;C;C;C
200000095;13;20150526;13;20150527;K4;2015005;;100000033;AMER;USD;798;698,25;99,75;C;C;C
200000096;4;20150529;4;20150530;K4;2015005;;100000023;APJ;USD;3592;3143;449;C;C;C
200000097;2;20150531;2;20150601;K4;2015005;;100000013;EMEA;USD;38475;33665,63;4809,38;C;C;C
200000098;2;20150603;2;20150605;K4;2015006;;100000039;EMEA;USD;3988;3489,5;498,5;C;C;C
200000099;3;20150606;3;20150609;K4;2015006;;100000039;EMEA;USD;5194;4544,75;649,25;C;C;C
200000100;6;20150608;6;20150609;K4;2015006;;100000026;EMEA;USD;10646;9315,25;1330,75;C;C;C
200000101;13;20150610;13;20150613;K4;2015006;;100000032;AMER;USD;45078;39443,25;5634,75;C;C;C
200000103;5;20150612;5;20150616;K4;2015006;;100000023;APJ;USD;45497;39809,88;5687,13;C;C;C
200000103;5;20150612;5;20150616;K4;2015006;;100000023;APJ;USD;55089;48202,88;6886,13;C;C;C
200000104;2;20150615;2;20150620;K4;2015006;;100000013;EMEA;USD;20091;17579,63;2511,38;C;C;C
200000104;2;20150615;2;20150620;K4;2015006;;100000013;EMEA;USD;41572;36375,5;5196,5;C;C;C
200000106;5;20150618;5;20150622;K4;2015006;;100000018;APJ;USD;48886;42775,25;6110,75;C;C;C
200000107;8;20150618;8;20150623;K4;2015006;;100000010;EMEA;USD;4999;4374,13;624,88;C;C;C
200000107;8;20150618;8;20150623;K4;2015006;;100000010;EMEA;USD;10848;9492;1356;C;C;C
200000109;7;20150621;7;20150625;K4;2015006;;100000034;AMER;USD;2288;2002;286;C;C;C
200000110;5;20150621;5;20150625;K4;2015006;;100000019;APJ;USD;30825;26971,88;3853,13;C;C;C
200000110;5;20150621;5;20150625;K4;2015006;;100000019;APJ;USD;39305;34391,88;4913,13;C;C;C
200000112;6;20150624;6;20150627;K4;2015006;;100000026;EMEA;USD;15485;13549,38;1935,63;C;C;C
200000112;6;20150624;6;20150627;K4;2015006;;100000026;EMEA;USD;38273;33488,88;4784,13;C;C;C
200000113;8;20150627;8;20150630;K4;2015006;;100000005;EMEA;USD;25182;22034,25;3147,75;C;C;C
200000116;3;20150702;3;20150703;K4;2015007;;100000028;EMEA;USD;2552;2233;319;C;C;C
200000117;6;20150703;6;20150706;K4;2015007;;100000036;EMEA;USD;49386;43212,75;6173,25;C;C;C
200000118;10;20150704;10;20150708;K4;2015007;;100000033;AMER;USD;1442;1261,75;180,25;C;C;C
200000118;10;20150704;10;20150708;K4;2015007;;100000033;AMER;USD;17938;15695,75;2242,25;C;C;C
200000119;12;20150706;12;20150708;K4;2015007;;100000033;AMER;USD;3800;3325;475;C;C;C
200000119;12;20150706;12;20150708;K4;2015007;;100000033;AMER;USD;59558;52113,25;7444,75;C;C;C
200000119;12;20150706;12;20150708;K4;2015007;;100000033;AMER;USD;62558;54738,25;7819,75;C;C;C
200000119;12;20150706;12;20150708;K4;2015007;;100000033;AMER;USD;64053;56046,38;8006,63;C;C;C
200000121;8;20150710;8;20150713;K4;2015007;;100000013;EMEA;USD;15234;13329,75;1904,25;C;C;C
200000123;9;20150715;9;20150718;K4;2015007;;100000004;AMER;USD;14163;12392,63;1770,38;C;C;C
200000125;4;20150716;4;20150717;K4;2015007;;100000022;APJ;USD;3445;3014,38;430,63;C;C;C
200000126;4;20150719;4;20150724;K4;2015007;;100000021;APJ;USD;8994;7869,75;1124,25;C;C;C
200000126;4;20150719;4;20150724;K4;2015007;;100000021;APJ;USD;31989;27990,38;3998,63;C;C;C
200000126;4;20150719;4;20150724;K4;2015007;;100000021;APJ;USD;33785;29561,88;4223,13;C;C;C
200000127;3;20150719;3;20150721;K4;2015007;;100000014;EMEA;USD;9527;8336,13;1190,88;C;C;C
200000129;8;20150723;8;20150728;K4;2015007;;100000007;EMEA;USD;11440;10010;1430;C;C;C
200000129;8;20150723;8;20150728;K4;2015007;;100000007;EMEA;USD;13840;12110;1730;C;C;C
200000132;10;20150728;10;20150731;K4;2015007;;100000032;AMER;USD;2499;2186,63;312,38;C;C;C
200000133;2;20150731;2;20150801;K4;2015007;;100000029;EMEA;USD;5996;5246,5;749,5;C;C;C
200000133;2;20150731;2;20150801;K4;2015007;;100000029;EMEA;USD;28991;25367,13;3623,88;C;C;C
200000134;5;20150801;5;20150803;K4;2015008;;100000016;APJ;USD;3196;2796,5;399,5;C;C;C
200000136;3;20150806;3;20150809;K4;2015008;;100000006;EMEA;USD;4500;3937,5;562,5;C;C;C
200000136;3;20150806;3;20150809;K4;2015008;;100000006;EMEA;USD;11489;10052,88;1436,13;C;C;C
200000137;2;20150808;2;20150810;K4;2015008;;100000028;EMEA;USD;27182;23784,25;3397,75;C;C;C
200000137;2;20150808;2;20150810;K4;2015008;;100000028;EMEA;USD;33178;29030,75;4147,25;C;C;C
200000138;10;20150811;10;20150813;K4;2015008;;100000032;AMER;USD;82143;71875,13;10267,88;C;C;C
200000138;10;20150811;10;20150813;K4;2015008;;100000032;AMER;USD;86184;75411;10773;C;C;C
200000139;9;20150813;9;20150817;K4;2015008;;100000032;AMER;USD;9198;8048,25;1149,75;C;C;C
200000139;9;20150813;9;20150817;K4;2015008;;100000032;AMER;USD;26981;23608,38;3372,63;C;C;C
200000141;8;20150819;8;20150821;K4;2015008;;100000008;EMEA;USD;1276;1116,5;159,5;C;C;C
200000141;8;20150819;8;20150821;K4;2015008;;100000008;EMEA;USD;34868;30509,5;4358,5;C;C;C
200000142;11;20150821;11;20150826;K4;2015008;;100000003;AMER;USD;26997;23622,38;3374,63;C;C;C
200000142;11;20150821;11;20150826;K4;2015008;;100000003;AMER;USD;94734;82892,25;11841,75;C;C;C
200000143;2;20150824;2;20150826;K4;2015008;;100000014;EMEA;USD;12982;11359,25;1622,75;C;C;C
200000144;6;20150825;6;20150827;K4;2015008;;100000009;EMEA;USD;7191;6292,13;898,88;C;C;C
200000147;2;20150826;2;20150831;K4;2015008;;100000039;EMEA;USD;12000;10500;1500;C;C;C
200000147;2;20150826;2;20150831;K4;2015008;;100000039;EMEA;USD;59782;52309,25;7472,75;C;C;C
200000149;5;20150829;5;20150831;K4;2015008;;100000017;APJ;USD;18805;16454,38;2350,63;C;C;C
200000149;5;20150829;5;20150831;K4;2015008;;100000017;APJ;USD;23131;20239,63;2891,38;C;C;C
200000150;13;20150901;13;20150906;K4;2015009;;100000001;AMER;USD;16972;14850,5;2121,5;C;C;C
200000151;11;20150904;11;20150908;K4;2015009;;100000031;AMER;USD;5250;4593,75;656,25;C;C;C
200000151;11;20150904;11;20150908;K4;2015009;;100000031;AMER;USD;23572;20625,5;2946,5;C;C;C
200000153;11;20150906;11;20150910;K4;2015009;;100000002;AMER;USD;23237;20332,38;2904,63;C;C;C
200000155;6;20150912;6;20150915;K4;2015009;;100000026;EMEA;USD;9996;8746,5;1249,5;C;C;C
200000155;6;20150912;6;20150915;K4;2015009;;100000026;EMEA;USD;17994;15744,75;2249,25;C;C;C
200000156;3;20150913;3;20150914;K4;2015009;;100000006;EMEA;USD;20891;18279,63;2611,38;C;C;C
200000158;8;20150917;8;20150918;K4;2015009;;100000012;EMEA;USD;26490;23178,75;3311,25;C;C;C
200000159;6;20150919;6;20150922;K4;2015009;;100000035;EMEA;USD;55300;48387,5;6912,5;C;C;C
200000159;6;20150919;6;20150922;K4;2015009;;100000035;EMEA;USD;59548;52104,5;7443,5;C;C;C
200000161;6;20150924;6;20150927;K4;2015009;;100000012;EMEA;USD;35491;31054,63;4436,38;C;C;C
200000162;5;20150924;5;20150929;K4;2015009;;100000016;APJ;USD;49622;43419,25;6202,75;C;C;C
200000163;5;20150926;5;20150930;K4;2015009;;100000020;APJ;USD;9480;8295;1185;C;C;C
200000164;3;20150926;3;20150929;K4;2015009;;100000005;EMEA;USD;63281;55370,88;7910,13;C;C;C
200000165;14;20150929;14;20150930;K4;2015009;;100000033;AMER;USD;22063;19305,13;2757,88;C;C;C
200000166;14;20151001;14;20151004;K4;2015010;;100000032;AMER;USD;11900;10412,5;1487,5;C;C;C
200000167;5;20151004;5;20151005;K4;2015010;;100000019;APJ;USD;13491;11804,63;1686,38;C;C;C
200000168;6;20151007;6;20151008;K4;2015010;;100000028;EMEA;USD;5196;4546,5;649,5;C;C;C
200000169;7;20151009;7;20151014;K4;2015010;;100000032;AMER;USD;7990;6991,25;998,75;C;C;C
200000170;6;20151009;6;20151010;K4;2015010;;100000009;EMEA;USD;24075;21065,63;3009,38;C;C;C
200000171;7;20151012;7;20151016;K4;2015010;;100000032;AMER;USD;319;279,13;39,88;C;C;C
200000172;9;20151015;9;20151017;K4;2015010;;100000004;AMER;USD;1050;918,75;131,25;C;C;C
200000172;9;20151015;9;20151017;K4;2015010;;100000004;AMER;USD;21444;18763,5;2680,5;C;C;C
200000172;9;20151015;9;20151017;K4;2015010;;100000004;AMER;USD;32332;28290,5;4041,5;C;C;C
200000172;9;20151015;9;20151017;K4;2015010;;100000004;AMER;USD;44332;38790,5;5541,5;C;C;C
200000173;8;20151017;8;20151018;K4;2015010;;100000013;EMEA;USD;16611;14534,63;2076,38;C;C;C
200000173;8;20151017;8;20151018;K4;2015010;;100000013;EMEA;USD;64455;56398,13;8056,88;C;C;C
200000174;6;20151018;6;20151023;K4;2015010;;100000009;EMEA;USD;17593;15393,88;2199,13;C;C;C
200000174;6;20151018;6;20151023;K4;2015010;;100000009;EMEA;USD;30916;27051,5;3864,5;C;C;C
200000175;1;20151021;1;20151025;K4;2015010;;100000002;AMER;USD;6016;5264;752;C;C;C
200000176;8;20151024;8;20151028;K4;2015010;;100000036;EMEA;USD;2400;2100;300;C;C;C
200000176;8;20151024;8;20151028;K4;2015010;;100000036;EMEA;USD;4798;4198,25;599,75;C;C;C
200000178;7;20151024;7;20151027;K4;2015010;;100000032;AMER;USD;17681;15470,88;2210,13;C;C;C
200000178;7;20151024;7;20151027;K4;2015010;;100000032;AMER;USD;53672;46963;6709;C;C;C
200000179;3;20151025;3;20151030;K4;2015010;;100000039;EMEA;USD;39591;34642,13;4948,88;C;C;C
200000180;3;20151025;3;20151030;K4;2015010;;100000037;EMEA;USD;11000;9625;1375;C;C;C
200000181;4;20151028;4;20151030;K4;2015010;;100000016;APJ;USD;23936;20944;2992;C;C;C
200000182;8;20151031;8;20151103;K4;2015010;;100000008;EMEA;USD;9152;8008;1144;C;C;C
200000183;11;20151102;11;20151107;K4;2015011;;100000034;AMER;USD;14990;13116,25;1873,75;C;C;C
200000183;11;20151102;11;20151107;K4;2015011;;100000034;AMER;USD;38984;34111;4873;C;C;C
200000185;6;20151106;6;20151108;K4;2015011;;100000038;EMEA;USD;4543;3975,13;567,88;C;C;C
200000185;6;20151106;6;20151108;K4;2015011;;100000038;EMEA;USD;78015;68263,13;9751,88;C;C;C
200000186;13;20151106;13;20151109;K4;2015011;;100000002;AMER;USD;18592;16268;2324;C;C;C
200000187;5;20151108;5;20151112;K4;2015011;;100000022;APJ;USD;400;350;50;C;C;C
200000189;6;20151112;6;20151117;K4;2015011;;100000012;EMEA;USD;33314;29149,75;4164,25;C;C;C
200000190;8;20151113;8;20151115;K4;2015011;;100000008;EMEA;USD;63200;55300;7900;C;C;C
200000190;8;20151113;8;20151115;K4;2015011;;100000008;EMEA;USD;70994;62119,75;8874,25;C;C;C
200000192;3;20151116;3;20151120;K4;2015011;;100000039;EMEA;USD;18396;16096,5;2299,5;C;C;C
200000192;3;20151116;3;20151120;K4;2015011;;100000039;EMEA;USD;28396;24846,5;3549,5;C;C;C
200000193;14;20151116;14;20151120;K4;2015011;;100000032;AMER;USD;47400;41475;5925;C;C;C
200000194;12;20151119;12;20151124;K4;2015011;;100000001;AMER;USD;26797;23447,38;3349,63;C;C;C
200000194;12;20151119;12;20151124;K4;2015011;;100000001;AMER;USD;29038;25408,25;3629,75;C;C;C
200000194;12;20151119;12;20151124;K4;2015011;;100000001;AMER;USD;39538;34595,75;4942,25;C;C;C
200000197;6;20151122;6;20151126;K4;2015011;;100000027;EMEA;USD;15800;13825;1975;C;C;C
200000198;4;20151124;4;20151128;K4;2015011;;100000022;APJ;USD;7210;6308,75;901,25;C;C;C
200000198;4;20151124;4;20151128;K4;2015011;;100000022;APJ;USD;56103;49090,13;7012,88;C;C;C
200000198;4;20151124;4;20151128;K4;2015011;;100000022;APJ;USD;78403;68602,63;9800,38;C;C;C
200000200;5;20151127;5;20151130;K4;2015011;;100000023;APJ;USD;17099;14961,63;2137,38;C;C;C
200000200;5;20151127;5;20151130;K4;2015011;;100000023;APJ;USD;20097;17584,88;2512,13;C;C;C
200000201;6;20151129;6;20151202;K4;2015011;;100000028;EMEA;USD;40590;35516,25;5073,75;C;C;C
200000202;8;20151202;8;20151205;K4;2015012;;100000028;EMEA;USD;74078;64818,25;9259,75;C;C;C
200000202;8;20151202;8;20151205;K4;2015012;;100000028;EMEA;USD;98570;86248,75;12321,25;C;C;C
200000204;2;20151208;2;20151209;K4;2015012;;100000028;EMEA;USD;6495;5683,13;811,88;C;C;C
200000206;2;20151212;2;20151215;K4;2015012;;100000028;EMEA;USD;37409;32732,88;4676,13;C;C;C
200000207;10;20151212;10;20151216;K4;2015012;;100000001;AMER;USD;19193;16793,88;2399,13;C;C;C
200000207;10;20151212;10;20151216;K4;2015012;;100000001;AMER;USD;31190;27291,25;3898,75;C;C;C
200000207;10;20151212;10;20151216;K4;2015012;;100000001;AMER;USD;61184;53536;7648;C;C;C
200000209;14;20151216;14;20151221;K4;2015012;;100000034;AMER;USD;39980;34982,5;4997,5;C;C;C
200000209;14;20151216;14;20151221;K4;2015012;;100000034;AMER;USD;62115;54350,63;7764,38;C;C;C
200000210;10;20151218;10;20151223;K4;2015012;;100000032;AMER;USD;9996;8746,5;1249,5;C;C;C
200000210;10;20151218;10;20151223;K4;2015012;;100000032;AMER;USD;61473;53788,88;7684,13;C;C;C
200000212;7;20151220;7;20151224;K4;2015012;;100000033;AMER;USD;41584;36386;5198;C;C;C
200000213;3;20151223;3;20151228;K4;2015012;;100000025;EMEA;USD;18200;15925;2275;C;C;C
200000215;5;20151226;5;20151227;K4;2015012;;100000015;APJ;USD;2245;1964,38;280,63;C;C;C
200000216;4;20151229;4;20151230;K4;2015012;;100000022;APJ;USD;19436;17006,5;2429,5;C;C;C
200000218;2;20151229;2;20160103;K4;2015012;;100000009;EMEA;USD;2144;1876;268;C;C;C
200000219;2;20151230;2;20160101;K4;2015012;;100000027;EMEA;USD;15715;13750,63;1964,38;C;C;C
200000220;8;20151230;8;20160104;K4;2015012;;100000007;EMEA;USD;77985;68236,88;9748,13;C;C;C
200000221;6;20151231;6;20160103;K4;2015012;;100000027;EMEA;USD;9684;8473,5;1210,5;C;C;C
200000222;9;20160101;9;20160104;K4;2016001;;100000031;AMER;USD;29994;26244,75;3749,25;C;C;C
200000223;4;20160104;4;20160107;K4;2016001;;100000020;APJ;USD;36690;32103,75;4586,25;C;C;C
200000224;6;20160104;6;20160105;K4;2016001;;100000026;EMEA;USD;10500;9187,5;1312,5;C;C;C
200000224;6;20160104;6;20160105;K4;2016001;;100000026;EMEA;USD;15323;13407,63;1915,38;C;C;C
200000226;4;20160108;4;20160113;K4;2016001;;100000016;APJ;USD;52590;46016,25;6573,75;C;C;C
200000227;8;20160111;8;20160116;K4;2016001;;100000035;EMEA;USD;29994;26244,75;3749,25;C;C;C
200000227;8;20160111;8;20160116;K4;2016001;;100000035;EMEA;USD;55282;48371,75;6910,25;C;C;C
200000228;11;20160111;11;20160113;K4;2016001;;100000003;AMER;USD;94738;82895,75;11842,25;C;C;C
200000229;6;20160112;6;20160117;K4;2016001;;100000036;EMEA;USD;71784;62811;8973;C;C;C
200000229;6;20160112;6;20160117;K4;2016001;;100000036;EMEA;USD;87764;76793,5;10970,5;C;C;C
200000230;4;20160113;4;20160116;K4;2016001;;100000022;APJ;USD;12548;10979,5;1568,5;C;C;C
200000233;6;20160119;6;20160124;K4;2016001;;100000037;EMEA;USD;40482;35421,75;5060,25;C;C;C
200000234;7;20160122;7;20160127;K4;2016001;;100000004;AMER;USD;598;523,25;74,75;C;C;C
200000235;5;20160122;5;20160127;K4;2016001;;100000015;APJ;USD;14994;13119,75;1874,25;C;C;C
200000235;5;20160122;5;20160127;K4;2016001;;100000015;APJ;USD;17994;15744,75;2249,25;C;C;C
200000236;2;20160123;2;20160125;K4;2016001;;100000037;EMEA;USD;7204;6303,5;900,5;C;C;C
200000237;2;20160123;2;20160128;K4;2016001;;100000012;EMEA;USD;74450;65143,75;9306,25;C;C;C
200000237;2;20160123;2;20160128;K4;2016001;;100000012;EMEA;USD;81834;71604,75;10229,25;C;C;C
200000238;6;20160123;6;20160127;K4;2016001;;100000029;EMEA;USD;18396;16096,5;2299,5;C;C;C
200000239;4;20160125;4;20160127;K4;2016001;;100000016;APJ;USD;18396;16096,5;2299,5;C;C;C
200000240;8;20160126;8;20160127;K4;2016001;;100000006;EMEA;USD;49491;43304,63;6186,38;C;C;C
200000240;8;20160126;8;20160127;K4;2016001;;100000006;EMEA;USD;57589;50390,38;7198,63;C;C;C
200000242;2;20160128;2;20160130;K4;2016001;;100000013;EMEA;USD;7794;6819,75;974,25;C;C;C
200000242;2;20160128;2;20160130;K4;2016001;;100000013;EMEA;USD;10039;8784,13;1254,88;C;C;C
200000243;14;20160130;14;20160204;K4;2016001;;100000004;AMER;USD;7794;6819,75;974,25;C;C;C
200000245;4;20160204;4;20160208;K4;2016002;;100000020;APJ;USD;24995;21870,63;3124,38;C;C;C
200000246;2;20160205;2;20160209;K4;2016002;;100000012;EMEA;USD;8601;7525,88;1075,13;C;C;C
