SALESORDERID;SALESORDERITEM;PRODUCTID;NOTEID;CURRENCY;GROSSAMOUNT;NETAMOUNT;TAXAMOUNT;ITEMATPSTATUS;OPITEMPOS;QUANTITY;QUANTITYUNIT;DELIVERYDATE
200000058;10;MZ-FG-C21;;USD;649;567,88;81,13;I;;4;EA;20150426
200000058;20;CM-FL-V00;;USD;799;699,13;99,88;I;;10;EA;20150426
200000058;30;MZ-FG-E103;;USD;449;392,88;56,13;I;;10;EA;20150426
200000059;10;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;4;EA;20150515
200000059;20;MZ-FG-C10;;USD;1200;1050;150;I;;4;EA;20150515
200000059;30;MZ-FG-C10;;USD;1200;1050;150;I;;1;EA;20150515
200000059;40;MZ-FG-C950;;USD;689;602,88;86,13;I;;2;EA;20150515
200000059;50;MZ-TG-A27;;USD;2250;1968,75;281,25;I;;10;EA;20150515
200000059;60;MZ-FG-R300;;USD;1250;1093,75;156,25;I;;10;EA;20150515
200000060;10;M1;;USD;1144;1001;143;I;;2;EA;20150515
200000060;20;MZ-FG-E101;;USD;249;217,88;31,13;I;;3;EA;20150515
200000060;30;MZ-FG-C10;;USD;1200;1050;150;I;;7;EA;20150515
200000060;40;MZ-FG-R100;;USD;4999;4374,13;624,88;I;;2;EA;20150515
200000060;50;MZ-FG-M550;;USD;2499;2186,63;312,38;I;;10;EA;20150515
200000061;10;MZ-FG-C900;;USD;525;459,38;65,63;I;;3;EA;20150524
200000061;20;M1;;USD;1144;1001;143;I;;6;EA;20150524
200000061;30;MZ-TG-A25;;USD;1500;1312,5;187,5;I;;2;EA;20150524
200000061;40;MZ-FG-E102;;USD;399;349,13;49,88;I;;2;EA;20150524
200000061;50;MZ-FG-E17;;USD;2499;2186,63;312,38;I;;10;EA;20150524
200000061;60;MZ-FG-C950;;USD;689;602,88;86,13;I;;1;EA;20150524
200000062;10;MZ-TG-A27;;USD;2250;1968,75;281,25;I;;5;EA;20150524
200000062;20;M1;;USD;1144;1001;143;I;;1;EA;20150524
200000062;30;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;2;EA;20150524
200000062;40;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;3;EA;20150524
200000063;10;MZ-FG-C950;;USD;689;602,88;86,13;I;;8;EA;20150530
200000063;20;M-01;;USD;319;279,13;39,88;I;;1;EA;20150530
200000064;10;MZ-FG-R300;;USD;1250;1093,75;156,25;I;;5;EA;20150522
200000064;20;MZ-FG-M525;;USD;1999;1749,13;249,88;I;;6;EA;20150522
200000064;30;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;3;EA;20150522
200000064;40;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;7;EA;20150522
200000064;50;MZ-TG-Y240;;USD;400;350;50;I;;9;EA;20150522
200000065;10;MZ-FG-M525;;USD;1999;1749,13;249,88;I;;6;EA;20150522
200000066;10;FG226;;USD;299;261,63;37,38;I;;1;EA;20150528
200000067;10;MZ-TG-E202;;USD;4599;4024,13;574,88;I;;2;EA;20150611
200000067;20;MZ-FG-C990;;USD;721;630,88;90,13;I;;4;EA;20150611
200000068;10;MZ-FG-P010;;USD;1199;1049,13;149,88;I;;8;EA;20150613
200000068;20;MZ-TG-Y120;;USD;7900;6912,5;987,5;I;;1;EA;20150613
200000068;30;MZ-FG-E103;;USD;449;392,88;56,13;I;;9;EA;20150613
200000069;10;MZ-TG-Y240;;USD;400;350;50;I;;2;EA;20150612
200000069;20;MZ-FG-R300;;USD;1250;1093,75;156,25;I;;2;EA;20150612
200000070;10;MZ-FG-E16;;USD;2499;2186,63;312,38;I;;1;EA;20150518
200000070;20;MZ-FG-C10;;USD;1200;1050;150;I;;6;EA;20150518
200000070;30;MZ-TG-SR01;;USD;4800;4200;600;I;;5;EA;20150518
200000070;40;MZ-FG-R300;;USD;1250;1093,75;156,25;I;;7;EA;20150518
200000071;10;MZ-FG-E17;;USD;2499;2186,63;312,38;I;;9;EA;20150616
200000071;20;MZ-FG-E102;;USD;399;349,13;49,88;I;;3;EA;20150616
200000072;10;MZ-FG-E15;;USD;3999;3499,13;499,88;I;;7;EA;20150616
200000072;20;MZ-FG-E103;;USD;449;392,88;56,13;I;;7;EA;20150616
200000073;10;MZ-FG-E15;;USD;3999;3499,13;499,88;I;;5;EA;20150601
200000073;20;MZ-FG-M500;;USD;5499;4811,63;687,38;I;;2;EA;20150601
200000073;30;FG226;;USD;299;261,63;37,38;I;;5;EA;20150601
200000074;10;TG11;;USD;3000;2625;375;I;;6;EA;20150601
200000074;20;MZ-FG-C990;;USD;721;630,88;90,13;I;;3;EA;20150601
200000074;30;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;4;EA;20150601
200000074;40;M-01;;USD;319;279,13;39,88;I;;1;EA;20150601
200000075;10;TG11;;USD;3000;2625;375;I;;4;EA;20150621
200000075;20;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;7;EA;20150621
200000075;30;MZ-FG-E15;;USD;3999;3499,13;499,88;I;;10;EA;20150621
200000076;10;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;4;EA;20150615
200000076;20;MZ-FG-R200;;USD;1499;1311,63;187,38;I;;9;EA;20150615
200000077;10;MZ-FG-C21;;USD;649;567,88;81,13;I;;10;EA;20150622
200000077;20;MZ-FG-C900;;USD;525;459,38;65,63;I;;7;EA;20150622
200000077;30;MZ-TG-Y200;;USD;399;349,13;49,88;I;;10;EA;20150622
200000077;40;FG226;;USD;299;261,63;37,38;I;;6;EA;20150622
200000077;50;TG11;;USD;3000;2625;375;I;;1;EA;20150622
200000078;10;M1;;USD;1144;1001;143;I;;3;EA;20150618
200000078;20;MZ-TG-Y240;;USD;400;350;50;I;;7;EA;20150618
200000078;30;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;3;EA;20150618
200000078;40;MZ-FG-C900;;USD;525;459,38;65,63;I;;3;EA;20150618
200000078;50;MZ-FG-M500;;USD;5499;4811,63;687,38;I;;2;EA;20150618
200000079;10;MZ-FG-E102;;USD;399;349,13;49,88;I;;1;EA;20150622
200000079;20;MZ-FG-R200;;USD;1499;1311,63;187,38;I;;2;EA;20150622
200000080;10;MZ-TG-E202;;USD;4599;4024,13;574,88;I;;7;EA;20150618
200000080;20;M-01;;USD;319;279,13;39,88;I;;7;EA;20150618
200000080;30;MZ-TG-SR01;;USD;4800;4200;600;I;;5;EA;20150618
200000080;40;MZ-FG-M500;;USD;5499;4811,63;687,38;I;;6;EA;20150618
200000081;10;MZ-FG-R300;;USD;1250;1093,75;156,25;I;;2;EA;20150614
200000081;20;MZ-FG-M500;;USD;5499;4811,63;687,38;I;;8;EA;20150614
200000082;10;M-01;;USD;319;279,13;39,88;I;;6;EA;20150615
200000082;20;MZ-TG-Y200;;USD;399;349,13;49,88;I;;10;EA;20150615
200000082;30;MZ-FG-R200;;USD;1499;1311,63;187,38;I;;2;EA;20150615
200000082;40;MZ-TG-SR01;;USD;4800;4200;600;I;;1;EA;20150615
200000082;50;CM-FL-V00;;USD;799;699,13;99,88;I;;5;EA;20150615
200000082;60;MZ-TG-E202;;USD;4599;4024,13;574,88;I;;1;EA;20150615
200000083;10;MZ-FG-R100;;USD;4999;4374,13;624,88;I;;7;EA;20150708
200000083;20;MZ-FG-E101;;USD;249;217,88;31,13;I;;3;EA;20150708
200000083;30;MZ-FG-C21;;USD;649;567,88;81,13;I;;3;EA;20150708
200000083;40;MZ-TG-Y120;;USD;7900;6912,5;987,5;I;;8;EA;20150708
200000083;50;CM-FL-V00;;USD;799;699,13;99,88;I;;7;EA;20150708
200000084;10;MZ-FG-C900;;USD;525;459,38;65,63;I;;1;EA;20150630
200000084;20;MZ-TG-E202;;USD;4599;4024,13;574,88;I;;5;EA;20150630
200000084;30;MZ-FG-E103;;USD;449;392,88;56,13;I;;5;EA;20150630
200000085;10;FG226;;USD;299;261,63;37,38;I;;9;EA;20150712
200000085;20;MZ-FG-M525;;USD;1999;1749,13;249,88;I;;6;EA;20150712
200000085;30;MZ-TG-SR01;;USD;4800;4200;600;I;;4;EA;20150712
200000085;40;MZ-FG-E15;;USD;3999;3499,13;499,88;I;;2;EA;20150712
200000086;10;MZ-TG-E202;;USD;4599;4024,13;574,88;I;;2;EA;20150624
200000087;10;MZ-FG-C21;;USD;649;567,88;81,13;I;;6;EA;20150625
200000088;10;MZ-FG-M525;;USD;1999;1749,13;249,88;I;;9;EA;20150708
200000089;10;MZ-FG-C900;;USD;525;459,38;65,63;I;;10;EA;20150707
200000089;20;MZ-TG-A25;;USD;1500;1312,5;187,5;I;;3;EA;20150707
200000089;30;MZ-FG-P010;;USD;1199;1049,13;149,88;I;;2;EA;20150707
200000089;40;MZ-FG-C10;;USD;1200;1050;150;I;;8;EA;20150707
200000089;50;MZ-TG-A25;;USD;1500;1312,5;187,5;I;;6;EA;20150707
200000089;60;CM-FL-V00;;USD;799;699,13;99,88;I;;2;EA;20150707
200000090;10;MZ-FG-C900;;USD;525;459,38;65,63;I;;6;EA;20150715
200000090;20;TG11;;USD;3000;2625;375;I;;2;EA;20150715
200000090;30;MZ-FG-P010;;USD;1199;1049,13;149,88;I;;8;EA;20150715
200000090;40;MZ-FG-E17;;USD;2499;2186,63;312,38;I;;7;EA;20150715
200000090;50;CM-FL-V00;;USD;799;699,13;99,88;I;;2;EA;20150715
200000090;60;M-01;;USD;319;279,13;39,88;I;;10;EA;20150715
200000091;10;MZ-FG-M500;;USD;5499;4811,63;687,38;I;;6;EA;20150705
200000091;20;MZ-FG-E17;;USD;2499;2186,63;312,38;I;;7;EA;20150705
200000091;30;MZ-FG-R300;;USD;1250;1093,75;156,25;I;;4;EA;20150705
200000091;40;MZ-FG-E103;;USD;449;392,88;56,13;I;;7;EA;20150705
200000091;50;TG11;;USD;3000;2625;375;I;;5;EA;20150705
200000091;60;MZ-TG-Y200;;USD;399;349,13;49,88;I;;2;EA;20150705
200000092;10;MZ-FG-C900;;USD;525;459,38;65,63;I;;10;EA;20150627
200000093;10;MZ-FG-M525;;USD;1999;1749,13;249,88;I;;5;EA;20150702
200000093;20;MZ-TG-A25;;USD;1500;1312,5;187,5;I;;6;EA;20150702
200000093;30;MZ-FG-M550;;USD;2499;2186,63;312,38;I;;10;EA;20150702
200000093;40;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;9;EA;20150702
200000094;10;MZ-FG-C990;;USD;721;630,88;90,13;I;;4;EA;20150703
200000094;20;MZ-FG-E17;;USD;2499;2186,63;312,38;I;;3;EA;20150703
200000095;10;MZ-FG-R100;;USD;4999;4374,13;624,88;I;;2;EA;20150726
200000095;20;M1;;USD;1144;1001;143;I;;5;EA;20150726
